txId,actual_class,predicted_class,risk_score
226704643,0,0,0.06
149235590,0,0,0.4
234249851,0,0,0.57
224674553,0,0,0.12
318146616,0,0,0.02
246126393,0,0,0.61
51621542,0,0,9.27
230467956,0,0,0.61
73019292,0,0,0.01
116726225,0,0,5.71
163806297,0,0,2.95
234612842,0,0,6.28
121657240,0,0,6.1
223885842,0,0,7.34
72336579,0,0,25.22
339156510,1,1,88.42
310552194,0,0,0.0
238293336,0,0,0.34
92517434,0,0,0.0
14959483,0,0,1.37
245177388,0,0,0.05
41490163,0,0,0.0
310805598,0,0,5.11
94599580,0,0,8.14
141031090,0,0,15.63
94499245,0,0,0.0
28809392,0,0,0.06
294596889,0,0,0.0
268775678,0,0,0.5
233221186,0,0,0.05
190822369,0,0,0.12
355095710,0,0,0.29
67562982,0,0,16.71
299347801,0,0,0.0
109048138,0,0,0.31
43388421,0,0,0.0
390575989,0,0,1.2
175102237,0,0,19.66
246380148,0,0,1.16
27562211,0,0,0.26
26815621,0,0,0.7
246384761,0,0,0.18
241678658,0,0,5.49
29251176,0,0,0.3
190086107,0,0,20.8
56781540,0,0,3.08
230670902,0,0,0.0
372748916,0,0,2.24
272518789,0,0,0.0
206400080,0,0,0.02
226629459,1,1,99.93
225338065,0,0,0.0
230469217,0,0,0.06
105595867,0,0,0.47
272487115,0,0,22.65
94076816,0,0,1.3
43019176,0,0,0.0
200520046,0,0,3.17
234672028,1,1,99.9
94217373,0,0,2.55
70454989,0,0,0.0
363219051,0,0,0.0
149184853,0,0,0.0
355126671,0,0,4.76
106815720,0,0,0.84
35004666,0,0,0.25
13161496,1,1,99.87
15483941,1,0,37.08
372535630,0,0,1.37
336797398,0,0,0.75
368735076,0,0,1.05
225060788,0,0,0.02
11579906,1,1,87.84
244629897,1,1,99.93
361712794,0,0,1.41
105289871,0,0,0.0
310170653,0,0,0.0
372812566,0,0,0.0
13805515,0,0,7.3
218306926,0,0,0.0
67905856,0,0,0.05
224196621,0,0,0.81
151211053,0,0,3.9
272274732,0,0,21.09
28113033,0,0,0.79
272483937,0,0,38.72
310492313,0,0,10.08
339171145,0,0,0.44
12821176,0,0,3.04
241488952,0,0,27.13
339648620,0,0,1.5
97027985,0,0,10.09
378155020,0,0,0.0
272487108,0,0,0.0
29487690,0,0,37.9
302006902,0,0,6.62
235247621,0,0,0.05
158868671,0,0,0.98
378452169,0,0,0.12
97072876,0,0,0.19
288423098,0,0,0.14
199321560,0,0,2.65
300523919,0,0,0.0
245201332,0,0,0.43
339576500,0,0,0.08
315580226,0,0,0.0
139667444,1,1,90.88
168139417,1,1,99.99
24141114,1,0,22.03
163809517,0,0,0.04
230537124,0,0,0.34
272483710,0,0,1.45
310469132,0,0,0.0
71450731,1,1,99.93
3876550,0,0,0.72
67632042,0,0,0.23
1876609,0,0,3.19
105593668,0,0,3.0
272153298,1,1,87.49
308059489,0,0,1.42
191391624,0,0,6.36
339058368,1,1,89.54
76287146,0,0,0.07
164858717,0,0,4.81
94515391,0,0,23.89
230349989,0,0,3.46
8823819,0,0,0.54
106413261,0,0,1.77
244292380,0,0,0.13
99947174,0,0,0.02
98785176,0,0,23.34
225691886,0,0,2.33
113578402,0,0,0.1
73024935,0,0,0.02
209042752,0,0,0.0
312447978,0,0,12.87
163838996,0,0,0.94
202064266,0,0,0.0
94198085,0,0,0.01
272472659,0,0,5.03
43470760,0,0,0.11
106400435,0,0,4.89
191194196,0,1,55.69
355006711,0,0,1.34
99948623,0,0,0.06
248922734,0,0,0.0
9186862,0,0,1.1
232397400,0,0,6.4
363698995,0,0,0.01
218016822,0,0,28.19
105976288,0,0,1.41
94216964,0,0,17.08
230540207,0,0,3.94
355094144,0,0,1.32
310464201,0,0,2.95
155653783,0,0,0.0
56279506,0,0,4.5
156061441,0,0,1.91
5168113,0,0,10.83
139656143,0,0,0.0
116636762,0,0,0.78
157569976,0,0,1.86
63749433,0,0,7.8
246161069,0,0,0.0
272153426,0,0,0.03
97712681,0,0,1.91
22838019,0,0,0.59
52888191,0,0,0.09
190967276,0,0,0.0
313122358,0,0,0.19
356381234,0,0,0.49
272428634,0,0,1.27
383122390,0,0,3.28
84374854,0,0,8.37
94586501,0,0,24.77
195440805,0,0,0.18
238519485,0,0,0.93
336472341,0,0,2.88
81125507,0,0,0.0
318847232,0,0,0.0
175043037,0,0,0.09
300424847,0,0,0.0
295155241,0,0,0.23
166079431,0,0,0.43
363340997,0,0,0.0
272977666,1,1,51.77
232412793,0,0,7.39
106306179,0,0,13.0
36245380,0,0,2.02
363766135,0,0,2.28
13267233,0,0,0.71
225278791,0,0,0.03
310113959,0,0,20.51
96341237,0,0,1.7
191390776,0,0,0.97
96566256,0,0,0.0
191460631,0,0,0.02
13285375,0,0,0.3
105592593,0,0,0.17
294581070,1,1,99.91
59724636,0,0,28.73
272080729,0,0,0.0
115213392,0,0,8.46
22837943,0,0,1.74
200983456,0,0,0.37
172876581,0,0,6.88
73025819,0,0,0.17
73256631,0,0,0.96
13224893,0,0,0.05
73265411,0,0,0.18
326652594,0,0,4.95
54735214,0,0,0.7
93183233,0,0,15.52
57091000,0,0,0.0
339456569,0,0,0.0
43449098,0,0,0.23
149159419,0,0,0.0
149605864,0,0,20.43
340010489,0,0,0.18
106293481,0,0,13.99
181982834,0,0,16.07
159607593,0,0,0.04
272089233,0,0,0.23
43036805,0,0,1.16
209537369,0,0,0.05
234560075,1,1,88.59
42236518,0,0,0.01
121849873,0,0,0.08
168129086,1,1,99.91
195437283,0,0,0.32
203852968,0,0,0.14
234833139,0,0,16.67
92764874,0,0,2.88
38477383,0,0,0.0
230343128,0,0,0.51
187110962,0,0,4.46
166070829,1,1,99.93
139195605,0,0,0.0
149705552,0,0,0.0
68703023,0,0,3.12
148842713,1,1,99.99
73021471,0,0,0.11
272308004,0,0,0.0
382885357,0,0,7.91
267667320,0,0,17.36
355090888,1,1,99.93
96941147,0,0,0.07
196256872,0,0,0.05
238473788,0,0,0.09
106415654,0,0,0.35
232062518,0,0,0.04
2787442,0,0,5.8
260549105,0,0,0.1
86656021,1,0,35.93
155570487,0,0,0.53
12685827,0,0,22.22
218306858,0,0,0.0
46932930,1,1,99.93
210366127,0,0,6.58
331575878,0,0,0.0
272080723,0,0,0.0
372812249,1,1,99.93
29256869,0,0,1.89
149143123,0,0,0.21
372823082,0,0,0.0
362839369,0,0,0.0
363528251,1,1,62.24
245237887,0,0,0.0
199945951,0,0,0.15
42960584,0,0,0.86
355007019,0,0,0.33
98067916,0,0,4.51
225059776,0,0,0.0
378330833,1,1,89.82
95639401,0,0,2.98
94042870,0,0,19.99
190051788,0,0,1.91
73240092,0,0,0.05
219541259,0,0,0.0
310483006,0,0,0.06
159033509,1,1,58.76
67628742,0,0,1.94
272281412,0,0,26.06
113995905,0,0,0.62
225003666,0,0,1.73
115129346,0,0,18.36
372670803,1,1,99.93
99912156,0,0,10.86
8998566,0,0,0.94
8994823,0,0,0.36
54745181,0,0,1.2
172227869,0,0,0.0
312450800,0,0,14.09
33057580,0,0,1.29
224641512,0,0,0.58
238335651,0,0,0.18
276701440,0,0,18.51
310147781,0,0,0.0
210646327,1,1,68.51
294494897,0,0,1.52
